Year,ABW,AFG,AGO,ALB,AND,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HND,HRV,HTI,HUN,IDN,IMN,IND,IRL,IRN,IRQ,ISL,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
2010,,8670,28530,4580,520,162820,168140,4340,,490,387350,69960,24150,320,106470,5080,2090,50580,44850,25980,2080,20840,61470,560,,15040,397730,1590,6860,470,3370,270,535030,45210,69720,8470570,6220,8990,2060,4980,64680,160,540,7110,30260,,,7820,113930,772920,520,180,48180,20640,113140,34650,196500,500,273250,18880,6470,62530,1160,347940,,110,4770,481790,5320,11150,2500,440,240,9520,87580,290,,11450,,1760,8210,19460,2460,47880,416940,,1665310,40630,550890,120230,1960,405270,7480,20200,1156080,223570,12640,6350,4920,50,240,574260,78250,2880,20880,730,57230,400,190,13070,2160,12600,11060,8520,,53660,,8300,1870,960,468940,140,8730,2780,2580,8280,2580,14310,,2720,2070,3660,1040,199110,3130,,1370,90730,4510,171160,41860,4640,40,31130,46470,140620,9190,45570,83570,210,5020,313740,,51620,50940,5040,,62270,77500,1583160,570,439230,15870,7030,42410,340,590,6540,,630,46660,0,100,1740,35450,15810,48130,1010,,440,59700,,1030,2630,235520,2420,57360,240,120,22620,27440,297120,10,6910,3850,269460,6280,5392870,122560,250,171400,,,149440,130,190,,23990,425110,2640,9810
2011,,12260,29460,5040,490,166320,177260,4940,,510,385770,68270,28560,370,95570,4980,2200,54420,49670,26030,2420,23740,58350,640,,16450,417120,1670,7010,670,4000,290,547720,41190,76470,9278250,5990,7970,2520,4860,69910,150,570,7430,28540,,,7550,110980,746380,480,170,43090,20870,118140,35500,201610,580,274400,18050,7540,55120,1110,333530,,120,5640,444420,6520,12210,2620,450,250,9710,84550,290,,11740,,1830,8780,19040,2800,46910,480460,,1760800,36360,561730,131030,1890,396690,7600,20760,1212170,242190,13030,7620,5190,50,260,597290,81160,3040,21180,850,38050,380,180,15420,2210,11840,10930,7900,,57790,,8350,2190,1010,480960,140,9640,3120,2570,8580,2540,15730,,3200,2190,3640,1140,201670,3320,,1410,102090,4770,158870,40160,5200,40,30350,52380,141640,9990,48580,84470,220,5150,310590,,37040,49870,5220,,65770,83950,1661780,650,456670,15350,7570,44770,350,770,6780,,630,50810,0,100,1950,34130,15730,44590,1020,,400,55920,,820,2510,234620,2540,63410,250,110,23190,25720,317720,10,8160,4160,283520,7610,5172100,125040,230,170180,,,149020,130,200,,20690,409120,3060,11490
2012,,10450,30250,4580,490,175730,178530,5720,,720,385770,65110,30760,390,94960,4740,2710,57990,45120,26570,3640,21960,59790,690,,17250,451760,2210,7130,760,5130,300,547140,42470,78490,9533210,7890,7060,2430,4750,70290,150,530,7450,28850,,,7020,107170,760020,510,250,38210,21640,126640,36630,212410,630,269270,16780,8460,49410,1030,336330,,130,5830,467080,7190,14220,2490,460,250,10010,80090,420,,12150,,2000,9140,17460,2500,43430,486750,,1908570,37100,571120,151860,1860,376750,7110,24120,1252220,241490,12130,10060,5420,60,350,598960,83590,3270,23480,950,52300,520,190,16830,2280,11930,10690,7570,,60150,,8140,2740,1140,480710,140,9130,3110,2710,11790,2330,17140,,3070,2400,3730,1120,203280,3540,,1890,100680,4690,157520,39110,6000,40,32010,58650,143750,10460,48370,88060,210,4900,303350,,38500,48220,5180,,73290,81730,1666860,720,488750,15210,7460,43690,360,890,6770,,630,45450,1420,120,2440,32370,15170,42150,1060,,450,45990,,890,2230,252070,2990,66300,300,110,22120,26680,328880,10,9870,3910,277290,8520,4950210,111290,400,183930,,,147270,120,200,,19680,426710,4020,12110
2013,,8510,32820,4790,480,184100,184000,5500,,470,379270,65750,31390,410,96610,5020,2970,60580,39820,28760,3110,21850,59930,500,,18560,482860,1480,7020,850,5560,300,556350,43480,82940,9936680,8460,7370,3650,4000,77790,180,510,7780,27350,,,6380,102720,777630,560,170,39980,21250,129910,39430,210430,650,242800,19190,10280,50190,1130,336630,,140,5700,453060,7840,15010,2180,440,260,9350,72480,320,,13010,,1980,9340,17040,2730,40760,454320,,1966810,35720,592480,162550,2030,346450,7580,23800,1260900,256340,14100,9380,5580,60,230,597640,85260,3910,23240,910,54990,320,190,14480,2290,11330,10150,7450,,59720,,7180,2930,1130,469860,140,8240,3050,2370,13590,2270,18380,,3460,2200,3820,1210,219820,3820,,1790,110720,4490,157120,38210,6090,50,31750,60990,145100,10610,49520,97800,220,5230,298330,,27820,46560,5300,,74600,72010,1624020,780,499380,14500,8010,43920,390,1070,6460,,650,46150,1450,120,2290,32940,14600,40550,1550,,410,30530,,920,1750,262460,3160,67780,460,120,22730,26770,318170,10,10810,4270,268600,7360,5089500,113130,220,187680,,,153630,110,200,,26350,436870,4240,12360
2014,,7810,34630,5220,460,183840,179910,5480,,480,369880,61990,32630,390,90160,5510,3020,63800,42230,30220,2620,19490,59470,490,,20170,506780,1290,6970,940,7130,300,561830,39730,76390,9894940,8960,7750,4790,4080,79820,160,500,7830,26880,,,6750,99750,737490,460,180,35760,21320,138810,41200,216650,680,240960,17820,12330,46160,1310,304530,,140,5500,414850,8470,14370,2240,520,280,8090,69550,250,,13950,,2060,9460,16340,3060,40630,490050,,2136870,35550,610670,168840,2050,327490,7400,25590,1219820,205230,15030,9710,6630,60,230,586000,83580,4420,24940,1220,59700,360,160,17600,2310,10860,9650,7280,,61160,,7710,3050,1360,458320,150,7780,3120,2350,17040,2220,18120,,4470,2520,3950,1100,231680,4000,,1980,116200,4760,149890,38280,7130,50,31790,64470,153670,11280,52810,104410,220,5870,285740,,31420,45930,5630,,80400,71410,1606860,810,536810,15330,8570,44460,340,1180,6590,,650,38720,1530,120,2640,30450,13170,39100,960,,460,27070,,940,1590,258660,4470,69490,530,110,21920,28830,340640,10,10720,4740,237610,6500,5102580,105410,290,188350,,,168560,160,210,,26710,447980,4800,12150
2015,,7990,35160,5070,470,194040,186090,5340,,490,375970,63150,32170,410,95200,5990,3400,71690,44690,30600,2370,19610,54890,660,,20410,479970,1290,5980,960,7210,310,558800,39030,81970,9830430,9560,8010,2890,3440,81030,180,500,7540,27490,,,6780,100980,742310,540,180,33600,23450,145970,40720,225950,650,256280,15370,12880,42820,1510,310520,,150,5480,400370,9200,15130,2540,530,280,7140,68010,270,,16340,,2050,9870,16680,3320,43380,490840,,2150220,36990,602230,162190,2060,337860,7290,25360,1181500,206640,17090,10270,8580,60,240,606510,88040,8660,27050,1260,53840,380,160,20360,2230,11070,9130,7320,,63150,,8020,3320,1350,472590,150,7480,3410,1650,19010,2360,17300,,5640,2950,3960,1200,232550,4270,,1970,108150,5270,158110,38640,6460,50,32190,68300,163590,10700,53820,113670,220,6430,289050,,25300,49850,6370,,83310,72900,1557530,930,561140,17800,9280,45500,310,940,7000,,650,45160,1970,120,2750,30750,13170,39200,1030,,500,26040,,970,1820,263080,4760,72080,610,110,21260,29670,351590,10,11690,4860,190870,6590,4982790,101530,220,173880,,,209200,140,240,,14210,424880,5070,12400
2016,,7390,35410,4930,470,199460,184280,5070,,500,383960,63390,32660,460,94320,7230,3500,73740,41740,30200,2190,22340,55210,650,,21610,441910,1310,6410,1230,7120,310,550480,39610,86160,9814310,9320,8550,2060,3350,83760,200,550,8080,28450,,,7150,102860,747150,490,180,35380,24460,143350,39010,233960,660,247030,15650,14950,45710,1740,312710,,170,5710,378890,9650,14110,2830,530,300,5600,66850,280,,17460,,2310,9400,16940,3400,44480,494980,,2183280,38710,605760,172350,2070,333340,7750,24860,1171390,223020,18770,9700,9900,80,250,614780,89880,15360,27810,1410,51180,350,150,21930,2270,11200,8860,7150,,63080,,8140,3220,1750,479250,180,7390,4420,1350,21890,2110,18170,,5790,2810,4040,1360,228640,4360,,1970,108420,5380,158270,37950,9340,60,31180,69540,180570,10770,56530,124920,260,7630,299740,,30090,48760,7150,,85280,71140,1530900,1050,556740,20480,9920,46160,360,960,7170,,660,46240,1730,120,2310,31500,13930,38790,1230,,540,26460,,1020,2300,260720,5960,72020,690,150,18230,28990,374590,10,10920,5670,201250,6530,4888640,107350,270,162060,,,223870,180,300,,10880,425180,5590,10990
2017,,7380,30840,5600,470,208250,180120,5320,,500,387200,65830,31970,570,92770,7360,4070,78710,44040,30380,2150,22650,56240,650,,22250,449840,1200,6710,1330,7870,310,562260,38620,87040,10017770,10380,8320,2280,3220,76060,250,590,8180,25650,,,7300,103420,732200,470,170,33330,23390,145100,37760,238690,720,263440,16280,15460,43010,1810,316360,,170,4700,366380,9630,14780,2970,540,300,5630,66800,290,,16510,,2320,9000,17480,3370,46550,532920,,2301440,37530,620780,174290,2170,329190,7190,26100,1151930,225560,18890,9340,11370,80,240,625350,89720,18510,29280,1260,56810,370,160,23310,2440,11220,9000,7120,,65930,,8160,3500,1820,471810,180,7860,5050,1520,31400,2230,19470,,6020,3800,4180,1500,222890,4330,,2070,112920,5400,155910,36900,11030,70,32920,69900,197700,10250,53990,136590,270,7700,312820,,22380,53330,8000,,87680,74100,1557190,1050,540700,20340,9570,47430,350,970,6380,,660,46900,1520,130,2130,33580,14140,38330,1040,,590,29100,,1020,2070,260660,6370,71960,600,180,18190,29890,415900,10,11360,5840,174840,6080,4813720,111380,270,148740,,,222130,170,300,,10060,435140,6990,10230
2018,,7440,27340,5560,460,200300,177410,5550,,530,386620,63180,32020,590,93470,7910,4270,82760,41130,30750,2260,22540,59310,680,,22710,427710,1250,7140,1380,8210,330,574400,37480,86620,10313460,9910,8620,2200,3220,79490,260,620,8260,24970,,,7230,102480,709540,490,180,33380,25120,151670,39530,246260,800,258340,16000,16280,44360,1900,309960,,180,4610,358800,9460,16110,3120,570,310,6670,65290,300,,18210,,2440,9770,16580,3330,46390,583110,,2434520,37110,629290,188140,2200,324850,8510,24700,1106150,220450,18400,11000,11160,80,260,630870,89460,18790,27710,1320,58940,390,140,21630,2570,11590,9320,7630,,66680,,8590,3370,1910,472140,190,7370,5620,1550,32520,2520,21320,,6640,4000,4130,1570,239620,4250,,2290,130670,5210,151170,37350,12030,70,32210,73370,208370,10140,54280,142240,290,7460,312740,,18120,49780,8420,,90170,74880,1607550,1080,514600,20200,9860,47360,370,1020,6810,,690,45540,1380,140,2080,33000,14050,36000,1090,,620,27910,,1070,2260,257860,7330,71730,640,190,17760,29980,412970,10,11580,6130,185370,6520,4981300,112090,280,138160,,,257860,180,320,,9310,433250,7740,12270
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
