ABW,AFG,AGO,ALB,AND,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HND,HRV,HTI,HUN,IDN,IMN,IND,IRL,IRN,IRQ,ISL,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
,1831108971.11111,,,89409820.3592814,,33293199095.4881,,,,45222309329.1522,17858486066.7474,,252842285.714286,29821661869.912,335072975.215766,482411103.787272,8751842839.79658,,,573400000,,,59207317.0731707,211100000,1095622895.6229,48869830901.7878,,197523179.241883,,127456485.120719,201450768.367553,99271961774.6088,,10884114754.0984,99800958648.1436,1584128262.08933,1236941200.95222,5594770359.28144,322128019.323599,7820380970.53674,,,1077152902.29104,6914658400,,,,,249985055484.303,,,19085731252.4407,1666500000,5077222366.97472,2754220263.02528,8609283346.08518,,46619420359.2814,,,12527405512.9298,247749327.721267,165966615366.402,,,381687073.058602,148113896325.14,,2417107708.25317,,55728608.974983,78540057.1372471,64946954.756798,14591750000,,88570952.8688525,1984800000,,282050000,731000000,,362800000,,9333536359.79888,,67350988020.9041,5098250287.46646,13731801564.0908,3865346534.65347,670251136.363636,124672365792.759,1539865513.92891,678241388.966676,240151807460.241,,1778391289.19123,,969911421.39418,15278632.4786325,19624746.4503043,9903499927.98502,3880370401.57259,,,,,,104888628.171944,2369308600.33727,76482102.9082774,,1518773421.37846,,,4356633663.36634,327651487.974965,,1199507629.99179,,39200000000,,,395218567.202881,264579879.784878,2173187160.95296,,,,,335569088.717833,,365386929.835119,4244340333.51899,,413985777.670322,693573595.320975,9181769911.50443,826571413.428571,44579122807.0175,14583114840.0629,882765471.604938,,7911136757.06867,301010587.102984,10665896682.0664,1523917200,8289582883.50129,8375086047.10196,,717716130.493883,,5646800000,,9201604240.28269,664571428.571429,296613496.873207,387700084.245998,,,222952578.196381,7184863276.54536,2656000000,1339548823.66855,2263785443.61688,50056882.8213879,419549425.077086,1186120000,,331102742.193418,,,,301000000,,,41566412922.6087,136465324.384787,,21965951.7213048,2097643979.05759,,501866730.722561,286537524.990331,7375000024.03846,,,,,896754316.674262,1685217058.71103,16256619963.7997,,,1417787114.84594,,2807258064.51613,1164850000000,,20051648.1847182,12986590909.0909,,,,,,,,20333691315.9642,1687000000,2178716300
,1595555475.55556,,,113408231.944085,,34733000536.2862,,,,52051401869.1589,22059612476.9332,,246804571.428571,37209418018.5134,410331900.950531,578595583.975723,6288245866.66667,,,590900000,,,66062500,235400000,1257615644.97932,58434858374.8696,,270818555.823521,,164466873.706004,230317908.038643,113082820486.918,,11853817307.6923,113687586299.051,1849400599.77558,1498252050.17228,6173712814.37126,410669262.898009,8671358732.68486,,,1238251695.55388,8135150891.92025,,,,,299801542047.476,,,23232379951.9376,1987400000,6766766610.86932,3185987234.84089,9299638055.84281,,59132415221.3306,,,14743186119.8738,316650508.967523,203494148244.473,,,430508357.724,169965034965.035,,2112292944.64142,,59161544.9957528,87702828.5651641,65429198.238708,16885511363.6364,,106101175.65798,2101300000,,285380952.380952,802999950,,372000000,,10997590361.4458,,71463193830.4064,6318060582.21873,17153463263.1086,4113848002.40312,839652164.06073,145260039840.637,1875048859.93485,788574628.955475,318031297492.352,,2107279157.38336,,505549441.375077,18936526.9461078,22944849.1155047,10862327878.032,4451200972.9401,,,,,,124941925.010473,2553936348.40871,80915831.9240276,,1901697369.62698,,,5074117544.77482,402460333.247989,,1341590681.58511,,45200000000,,,486617332.387405,295118249.324932,2004475041.31247,,,,,391669449.25347,,406062874.251497,5043268548.73032,,506808996.960657,742779740.393512,12274416017.7976,880842890.071429,54706557264.4878,17358610849.701,1024098804.93827,,9567331064.65727,366857738.40542,9415016359.56604,1673411700,9189413409.01292,9067872578.93699,,858802035.928144,,6328900000,,11239117865.0852,769039682.539683,325843254.666984,510259940.720474,,,246457838.336681,9664067929.6561,2882000000,1620857277.19338,2721440980.75851,40606712.050639,465381089.98454,1263720000,,416942436.927838,,,,311950000,,,48954145808.8359,146741251.46351,,30645121.0129499,2415706806.28272,,585427545.723712,335677636.893737,8177884552.88461,,,,,1083381044.08473,2237476420.03773,20431095406.3604,,,1491596638.65546,,2189418001.37898,1279110000000,,27585488.9918284,13977727272.7273,,,,,,,,21357435928.3439,1910714285.71429,2677729400
,1733333264.44444,,,150820102.798401,,52544000116.9037,,,,63844971172.3254,29515467706.796,,304339839.552146,47743801490.3747,504376035.716401,674773518.411839,8086725729.3407,,,670900000,,,78343558.2822086,269500000,1262968515.74213,83592275862.9982,,433092003.579273,,244129088.027662,271183061.359635,131321858814.119,,16836261173.1844,138544284708.957,2508421234.8557,1901393216.00149,7870239461.07784,541973362.481063,10315760000.3394,,,1528916185.23199,9987709650.18094,,,,,398374021953.897,,,30730626663.3606,2344800000,8707847924.29022,3891755551.94138,10098534613.4411,,78639525985.1513,,,19472363466.6252,425963359.355326,264429876252.21,,,722780701.123338,192537971582.558,,2465492957.74648,,75187969.924812,89374237.2881356,81203226.9138345,22347848101.2658,,140153748.243656,2569200100,,307047619.047619,912499950,,466800000,,16273253012.0482,,85515269585.522,7481173065.79201,27081698249.5083,5134367778.1446,1154440252.96794,175492055795.417,1905917553.19149,943700547.778454,432082670450.719,,2508998457.4073,,702899155.982033,31710657.7257811,24196018.3767228,13876531432.0145,5408293998.65138,,,,,,165930611.729019,2875625000,121181556.195965,,2609875802.11136,,,6242177798.33938,523552815.099552,,1653062347.36254,,55280000000,,,563683660.31194,345602025.375393,2216399557.72803,,,,,493237544.352934,,444281703.893568,7662996766.66803,,542293400.026544,946385033.011918,15162871287.1287,1093571441.5,71840909664.1968,22534253702.8686,972101724.995368,,12802281897.8712,483033932.135729,6383429490.21091,1913793400,10994381894.7984,11412421019.6329,,1299105240.73285,,7002400000,,15090564186.4268,995531746.031746,431254103.046252,793884368.040437,,,290746157.145921,14947491056.4605,3571666666.66667,1863398448.32592,3696213333.33333,55272108.8435374,575230234.387058,1442320000,,507028428.241662,,,,339450000,,,59404966684.2214,221902017.291066,,36896278.2235629,2579219250.63755,,647199482.828061,406479906.159652,10838587357.7466,,,,,1308799458.96284,2730787476.28084,25724381625.4417,,,1702521008.40336,,3964295672.52444,1425376000000,,30165373.6218865,17035581395.3488,,,,,,,,29295674714.2466,2268714285.71429,3309353600
,2155555497.77778,,,186558696.279204,,72436777342.4554,,,,88981577008.1061,35189299911.6608,,345263492.063492,56033077879.0389,554654786.965107,751133330.591384,12512460519.7088,,,632400000,,,103216374.269006,312600000,2100249875.06247,109794519727.538,311809337.474355,1073577085.64159,,306033848.417954,281398668.160613,160408697341.513,,16210404183.5358,144182133387.722,3070151901.06383,2157415245.73471,9596960179.64072,585364635.354804,12370029583.6419,,,1666544754.09836,11405957317.0732,,,,,445303484241.554,,,34160444798.1099,2925700000,13210029612.2659,6599259420.99605,9228963224.60004,,97274006345.5437,,,24848821490.4679,558589870.903674,285552373158.756,,,1544216003.98425,206131369798.971,,2894409937.8882,,95797533.4619206,98775328.9473684,94159862.7073691,25351306818.1818,,169918948.629182,3161499900,,433954545.454545,1034500000,,565400000,,25802409638.5542,,99525899115.7756,7896860614.98803,46209092072.1383,11516762614.2906,1515190595.29765,199564489431.378,2375096249.03751,1197454206.76808,479625998613.406,,2969942180.34692,,588443893.689773,85637174.3722131,31514856.3078422,19544094741.2663,13004774556.6166,,,,,,193983720.461869,3574586466.16541,150846210.448859,,3183637116.81856,,,7675408485.51421,563939670.684242,,1917508190.04689,,72000000000,,,538747268.333356,376094108.475331,3194851101.85718,,,,,613010958.14599,,548621017.593913,9496074114.07918,,637403479.72901,1026136974.47536,24846641318.1242,1520900045.14286,87243413394.5405,27145693810.1341,1217953546.97604,,13940981798.1247,1645917776.49102,8899191919.19192,2188307600,13858441211.2196,15607825070.495,,1467346059.99713,,7684800000,,17512391475.9274,1333475396.8254,555337985.683076,2401403227.44085,,,308458423.183854,45412971909.3794,4595000000,2099324949.84605,5221534955.64418,84539332.282562,648590642.939888,1665880000,,467577432.247816,,,,409850000,,,66013338964.725,264311994.113319,,43134498.6929657,4244670160.29051,,652532796.066703,560437742.594972,13703000530.0587,,,,,2042031901.42217,3545933562.42841,35599913836.4328,,,2100142653.35235,,4090209681.97172,1545243000000,,32924215.8581726,26100930232.5581,,,,,,,,36807721037.6395,3121833333.33333,3982161400
,2366666615.55556,,,220127246.376812,14720672506.5004,52438647921.9226,,,,97333060221.2208,40059206763.056,,420986666.666667,65678189097.2908,676870140.341529,939972703.463021,19448348073.4565,,,596200000,,,118066298.342541,345000000,2404697651.17441,129203555238.827,402178605.019554,1168304305.65513,,355172413.793103,378660016.265936,173834029689.343,,7622217352.34216,163431551779.761,3893839190.26806,2857037371.05886,10237343173.6527,767102679.01869,13098633901.8673,,,1960863465.5776,13027415243.9024,,,489914760.682807,,490636517211.225,,,40474406216.2821,3599200000,15557934268.4965,7731677256.80982,11632178868.9171,,114777046376.812,,,29472623242.2822,684268280.812751,360832186018.051,,,2157592936.60731,241756637168.142,,2810106382.97872,,115182522.123894,108985740.155434,104295643.388437,28525876726.8863,,211194305.702999,3645900000,,494791666.666667,1124000000,,681400000,,30463855421.6867,,98472796457.114,9483808362.36934,51776222349.8869,13458516762.6143,1406875081.32726,227695851126.928,2860411285.88714,1363039399.62477,521541905673.251,,3259344935.76836,,,55081816.9917528,33364055.2995392,21784297520.6612,12024138275.8621,,,,,,246387479.177159,3791298145.50642,149560513.860717,,3123333333.33333,,,8984824182.60333,711922994.25844,,2283049233.28758,,88000000000,,,830710615.179954,474620439.58496,3600115347.88297,,,,,703378653.350029,,613220652.928919,9298800799.46702,,816652167.285134,1048690933.21027,27778934624.6973,1590428522.64286,100249523353.085,32877805200.023,1575789254.46938,,12861983284.3912,2096699189.34569,11230606060.6061,2435304100,16877163792.1284,16875240683.0685,,1356591176.85561,,8198300000,,19347607843.1373,1511420634.92063,690319754.911573,2512784033.37828,,,571863295.740122,46773303720.8932,5598000000,2830388404.87845,5633673929.99302,74617096.4785967,679335901.117451,1884120100,,710850226.528991,,,,465500000,,,82885397620.5385,288302907.369844,,47803145.9560303,5566756756.75676,,864602103.303151,617321669.390877,14882747955.0328,,,,32506741.7201204,2442667573.04821,4328610489.68432,44633707242.7642,,,2359555555.55556,,3538283322.07726,1684904000000,,33237164.715642,27464651162.7907,,,,,,,,38114542813.0982,2618666666.66667,4371300700
,2555555566.66667,,,227281024.620741,19213022691.0526,51169499890.7722,,,,105101474851.885,42959976221.5234,,448412753.623188,71113882967.6071,698408244.385343,976547163.53387,10117113333.3333,,,642100000,,,96905829.5964126,386300000,2731984007.996,153168949208.207,435911268.58968,1423061356.64562,,372010119.595216,451152449.984411,206575564908.722,,10341925249.0421,153940455341.506,4662053707.7763,2898089929.08573,9648583224.99212,754549600.548052,15341403660.4698,,,2412555425.90432,13789579902.5579,,,576090073.715036,,519754453161.411,,,44575892473.1183,3951500000,17728347374.994,9091924304.83477,13315988083.4161,,118507184779.905,,,31849513771.3494,694552411.718837,372319038514.067,,,3009409970.90463,232614555256.065,,2765254237.28814,,112189468.481826,112386489.005677,103653049.93797,31152835820.8955,,240780413.56493,4365300200,,454440000,1347999950,,879000000,,37269156626.506,,102717164465.894,9453756014.71837,68055295080.7538,17754825601.0836,1669488389.96542,224717278436.846,2966010229.8977,1708734939.75904,586161858999.671,,3474542392.03212,,,41109617.4996945,30095602.2944551,29902479338.843,13131668946.6484,,,,,,272493879.020643,3591319857.31272,147654093.836247,,3423586206.89655,,,9584323309.12136,735339911.91765,,2181844193.9254,,89025974025.974,,,939227993.66396,527936988.791275,3812349976.50503,,,,,775046377.591752,704033525.405972,670317634.173056,11050125904.9418,,798313524.683111,1064517574.56042,36308883248.731,1847871371.71429,109168720620.103,35942270686.3374,1452792989.10865,,13604832424.0062,2560220034.74233,13168080808.0808,2588106000,15947709379.6507,19380945792.6854,,1511856584.25833,,8968600000,,20332831564.9867,1698960317.46032,732286143.34318,3284301332.18953,,,637754162.101094,64005623870.3227,6979333333.33333,2869777812.41008,6327077974.10703,83099107.9066357,594895672.333848,2328280100,,807275808.737093,,,,505500000,,,89362071672.9034,272539098.436063,,49278979.5471457,6417632802.89182,,866044961.048205,619375134.18051,16985211146.0238,,,,30036416.9619944,2500410583.79177,4507929104.47761,51280134554.2889,,,2447300000,,3667161241.48372,1873412000000,,32792480.9729606,31419534883.7209,,,,,,,,36603349970.1683,2746714285.71429,4318372000
,2953333417.77778,,,254020153.340635,24871775164.6043,56781000100.9448,,,77496753.7037037,110387703601.744,51545758887.6863,,547535555.555556,82839905458.6382,750049739.152238,1131224818.33053,9651149301.8746,,,713000000,,,117650000,447000000,3227436281.85907,176344101401.941,495097667.929041,1732721160.94122,,451603325.415677,507298120.68315,211612157028.679,,13962893421.5413,174938098826.569,6265067857.86534,3394663844.42834,12344424763.5727,765224030.636477,19470960619.1297,,,3072427012.83547,14206158674.6988,,,734887973.975806,,600498238019.035,,45872947.4074074,49784338519.4563,4587100000,20971901273.271,11026346589.5011,14400806875.9867,,132449277108.434,,,33499799321.2336,719533137.126662,410279486493.715,,,2809349074.17711,263066457352.172,,3189428571.42857,,138094243.349324,114971207.205384,103987520.075827,36176234967.6226,71494495.1851852,282269373.001066,5480500200,,449880000,1669499950,,947000000,,45808915662.6506,,121487322474.298,11248340431.3779,80600122701.9632,19838130714.5276,2208509076.28099,257596313364.055,3249697393.02607,2096568478.59095,721411786536.814,,4494378855.33109,,,38748059.4366822,44496296.2962963,38446487603.3058,14135729588.2763,,,,,,303496276.263782,4104509582.86359,193307267.709292,,3789321328.08104,,,11049896742.3889,811250927.388123,,2358930406.42896,,81814159292.0354,,,1049838492.55759,625573345.532174,4104619035.12077,,,,,799029666.591345,823634464.910024,806290840.624654,13139397879.1695,,837620127.341416,1291457973.12517,36035407725.3219,2239857060.57143,127016990212.804,41508030431.1074,1382400000,,15446825318.4556,2741169947.88651,15126060606.0606,2738261900,14620386673.8544,22283185056.1012,,1640763204.44781,,9910900000,,21439523310.6338,2092158730.15873,793193187.415778,3617580171.76055,,,746650558.55469,74188363505.8532,8704000000,2938046307.22894,6618585073.66035,93147039.2548237,691777758.395115,2941640100,,498550873.043478,,,,641500000,,,94468740851.4816,304047838.086477,,64526398.6585361,6882292993.63057,,935360466.351397,777435020.475847,19779315170.0237,,,,34139387.8908849,3138666666.66667,5109324009.32401,58676813687.3681,,,2936470588.23529,,4114667062.64917,2081826000000,,49353161.8518519,36210697674.4186,,,,,,,,40651349966.8691,2483000000,4364382100
,3300000108.88889,,,308008897.569444,23775831783.4263,58082870156.2634,,,87879341.4814815,118535980148.883,62052259073.2493,,610225555.555556,101246526194.441,928843304.783965,1475583383.37265,13281767142.8571,,,832400000,,,136300000,475800000,3758220889.55522,200278646123.581,552883707.055138,1941600703.60598,,590376720.598889,610578523.761178,218632867537.477,,15989933708.1491,149540752829.268,7900524897.8644,4662851756.59046,15372608002.3923,878771771.290883,23263511958.0509,,,3523208809.80163,17844705324.6753,,,964026512.197839,,740469983446.933,,57130215.5555556,60362931853.6249,4734400000,26364491313.4471,11922502170.6405,14811704063.0685,,160599687500,,,36256160288.8087,829239489.844119,506707848837.209,,,2389479269.18832,335883029721.956,,3662478184.99127,,171836793.402695,122666858.789625,,44270204081.6327,88322386.2962963,355989047.256374,6070600200,,507080000,3097242093.22441,,974200000,,51455719099.9207,,137300295308.038,14647996073.6937,77994316621.4814,23762275651.8794,2511826196.009,315058323066.393,2644449232.29321,2602748691.09948,1013612173518.84,,5303734882.53447,,,45210026.3248255,49433333.3333333,51972107438.0165,15500908760.4507,,,,,,436918176.733781,2733183856.50224,266559337.626495,,4718539771.99949,,,13236854105.1672,1000535735.37664,,2669755115.50569,,102500000000,,,1222702356.10946,793675169.878579,4415811913.08581,,,,,804629876.770723,1015365145.29554,949034016.830627,16358376511.2263,,846004692.259462,1774365275.18226,36527862208.7133,2142128603.78571,155859695457.323,46523091009.6713,1604162497.45945,,18530518394.6488,2740301389.69311,17811515151.5152,3244558600,12495779622.071,25762077665.0311,,1947947524.33347,,11165000000,,23487614051.0949,2559857142.85714,1005573294.20713,4052000412.70087,,,905709147.27019,80265732292.5833,7670500000,3280354339.39341,7517176354.84135,111022089.96223,960728338.93643,3127960000,,564986059.668508,,,,735500000,,,104442351222.751,340616375.344986,,85552369.914184,8251974522.29299,,1113920122.61212,824263841.539264,24006570178.1561,,,,41567471.6721987,3562333458.33333,5968044209.51466,65147022485.7919,,,2420260869.56522,,4910257282.93153,2351599000000,,60844771.4814815,39316279069.7674,,,,,,,,46739449961.9073,2813375000,4351600500
,3697940409.61098,,,411578334.159643,31225463217.7582,69252328953.3789,,,109079978.888889,134941497216.858,73937296963.4586,,782496666.666667,116315456796.918,1186231265.18417,1748480982.18517,15565480321.9448,,,1139800100,,,151800000,517200000,4421343606.18135,221338204480.222,670362452.145379,2803780005.51826,,819877300.613497,700764892.704831,243072102612.259,,21803696985.2349,178280594413.043,9142935857.94766,5919004206.90706,15068422236.3663,1198749665.95053,27940411250.2732,,,4035519323.22054,19584443287.6712,,,1288715209.58084,,881345176608.686,,55017758.8888889,70366241969.2074,5498800000,33243422157.6311,14175166007.5774,18020571428.5714,,214601955875.062,,,44465255686.1548,1019743927.24662,613953129818.07,,,3030251116.35966,438994070309.191,,4020227920.22792,,207114382.546071,118537875.133044,,54481876724.931,102244362.222222,420642463.409998,6902600200,,530440000,3544281976.29198,,1080600000,,51400186379.3028,,152991653792.864,18319334300.4513,90391877325.9285,37816457839.4853,2853435053.88542,393677161500.816,2425033998.18676,3271728271.72827,1055012119526.33,,6234390975.27091,,,42620165.4370668,58840740.7407407,66946900826.4463,24746019536.903,,,,,,503180669.994587,3364611432.24149,290142517.814727,,5516982663.73143,,,15912133569.2852,1209898293.39444,,3463565881.42486,,134561403508.772,,,1595423285.64659,1001300838.32335,5093478602.0224,,,,,951900945.200283,1211141231.11555,1058269065.98115,21213672089.1976,,1047225724.4525,2109278101.9887,47259911894.2731,1527852635.63158,179669405690.432,53132244623.9213,1851250008.33333,,20731243113.2926,3733352634.62652,19688383838.3838,3704551600,15962459447.2168,31218507870.1702,,2293621944.36639,,12750000000,,26622819672.1311,3416777777.77778,1215031775.26751,5633000318.02401,,,1109346220.52885,111859726428.738,9032250000,4084878667.85616,9296921723.83465,151270207.852194,1109374722.08294,3463639900,,590419855.11811,,,,782500000,,,123386410160.715,412093133.760988,,127261099.24396,9929681528.66242,,1004316495.11165,891775906.631014,27371699082.7126,,,,44667002.0120724,4602416625,7188191881.91882,89394085658.2038,,,2139025000,,7181185277.98651,2627333000000,,71096359.6296296,48310930232.5581,,,,119258835.335525,,,,57645721018.0263,3325500000,5177459400
,3641723321.99546,5934073603.54849,,446416105.825017,43598748449.0479,76961923741.9479,,,131431026.666667,150032311977.716,82058912997.2346,,919726666.666667,126829314388.191,1405251547.23882,1928719477.41287,18138049095.6072,19839230769.2308,3072698328.46909,1335300000,,,197938222.429283,613299968,4526916802.61011,237393489892.637,1012280614.52792,4928824957.96749,128717410.9125,1060923829.13021,797048028.773247,273853826548.067,122660905890.076,29036709871.7949,191149211575,10175615441.8127,6674567625.0807,14394927494.8647,1705796849.54659,33400735644.0481,212218226.429847,142246875.536716,4831447001.16686,19912889861.1111,,,2154311276.94859,,950290856466.538,,72804653.3333333,71127528699.9414,6761300000,42346380830.7708,17881514682.8784,21669908177.0664,,232766822928.754,,,53645202422.6968,1202567359.4132,701288419745.421,,,4279637933.85136,564947710899.373,,4445228215.76763,,241080708.89018,110653830.722704,50642880.7737503,56829664268.5851,110900457.037037,476055288.418886,7878700000,,603200000,3968160045.98684,,1383800000,,72482337370.3464,,186325345089.754,21747855640.0712,94362275580.0229,52569000000,3381419042.85476,477256775943.929,2679409453.23903,3910036925.14267,1105385973763.87,,7265315331.62273,,,38715554.5433842,68459259.2592593,65398646757.6511,28638550499.4451,,,,,170370370.37037,534701915.617354,4024621899.57653,431561376.476631,,6019805490.41247,,,21728770055.3777,1378130995.60185,,5201818349.00282,42463576.1589404,205139086956.522,,,1759687480.12117,1250242107.87969,5671769759.40143,,,,,1047924649.11779,1131788191.50736,1237655461.1501,24488033442.0506,2422096074.58458,1182463958.6966,2508524186.43352,64201788122.6054,2189347367.52632,195152092662.381,64439382896.0156,1945916583.33333,,23244547384.6748,5981760277.93862,23654444444.4444,4614086400,18134029179.6393,36848242783.8987,,2545983007.89984,,14436100000,,32896519823.7885,4448087301.5873,1362151523.68942,7829094613.07082,,,1254765349.93185,164541658298.596,7459833333.33333,4510107330.12074,11896256782.8566,183170656.739582,1100685844.92284,3573959900,,603592656.822209,,,,795000000,,,142092068280.689,542000513.610683,,147357222.779802,13062420382.1656,,1033002401.82546,1136408814.19692,32353440726.8856,,,,53260077.4311091,6235833333.33333,8744134354.16152,68789289565.7434,,,1244610000,,10163020115.7344,2857307000000,,82340339.6296296,59116511627.907,,,,121185497.569261,,,,82980483387.953,3829500000,6678868200
